,hostnameLength,topLevelDomainLength,primaryDomainLength,containsIp,no_of_dots,length_of_url,token_count,avg_token_length,path_token_count,avg_path_token,domain_token_count,largest_domain,avg_domain_token
493,25,3,9,0,2,32,3,7.666666666666668,0,0.0,3,15,7.666666666666668
864,29,3,29,0,1,37,2,14.0,0,0.0,2,25,14.0
1003,20,3,9,0,2,44,5,14.5,2,8.5,3,10,6.0
608,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
915,21,3,14,0,3,48,5,13.833333333333332,2,7.5,3,10,6.333333333333332
7,13,5,13,1,2,28,0,0.0,0,0.0,0,0,0.0
519,8,2,8,0,1,15,2,3.5,0,0.0,2,5,3.5
538,14,2,7,0,2,21,3,4.0,0,0.0,3,6,4.0
6,13,5,13,0,2,20,3,3.6666666666666665,0,0.0,3,7,3.6666666666666665
293,15,6,15,0,1,22,2,7.0,0,0.0,2,8,7.0
337,10,2,10,0,1,17,2,4.5,0,0.0,2,7,4.5
622,19,3,11,0,2,26,3,5.666666666666668,0,0.0,3,7,5.666666666666668
12,13,5,13,1,1,16,0,0.0,0,0.0,0,0,0.0
114,12,4,12,0,1,19,2,5.5,0,0.0,2,7,5.5
417,7,2,7,0,1,14,2,3.0,0,0.0,2,4,3.0
616,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
535,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
962,28,3,20,0,2,58,5,16.666666666666664,2,8.0,3,16,8.666666666666666
462,15,4,15,0,1,22,2,7.0,0,0.0,2,10,7.0
161,25,3,25,0,1,32,2,12.0,0,0.0,2,21,12.0
26,9,3,9,0,1,16,2,4.0,0,0.0,2,5,4.0
136,37,3,25,1,1,23,0,0.0,0,0.0,0,0,0.0
517,11,2,11,0,1,18,2,5.0,0,0.0,2,8,5.0
273,17,6,17,0,1,24,2,8.0,0,0.0,2,10,8.0
617,23,6,23,0,2,30,3,7.0,0,0.0,3,16,7.0
788,15,3,12,0,2,46,7,9.083333333333332,4,4.75,3,8,4.333333333333333
735,26,12,26,0,3,81,6,12.333333333333332,3,4.333333333333333,3,13,8.0
54,14,2,14,0,1,21,2,6.5,0,0.0,2,11,6.5
716,16,3,16,0,1,24,2,7.5,0,0.0,2,12,7.5
565,17,3,17,0,1,24,2,8.0,0,0.0,2,13,8.0
373,15,3,10,0,2,22,3,4.333333333333333,0,0.0,3,6,4.333333333333333
725,16,3,16,1,3,161,3,7.0,3,7.0,0,0,0.0
775,28,12,28,0,2,36,3,8.666666666666666,0,0.0,3,15,8.666666666666666
946,27,3,27,0,1,35,2,13.0,0,0.0,2,23,13.0
989,19,3,19,0,1,46,3,28.0,1,19.0,2,15,9.0
58,21,3,15,0,2,28,3,6.333333333333332,0,0.0,3,11,6.333333333333332
720,16,3,16,0,1,54,4,15.0,2,7.5,2,12,7.5
794,15,3,12,0,3,58,7,12.083333333333332,4,7.75,3,8,4.333333333333333
521,11,2,11,0,1,18,2,5.0,0,0.0,2,8,5.0
359,21,2,21,0,1,28,2,10.0,0,0.0,2,18,10.0
200,9,2,9,0,1,16,2,4.0,0,0.0,2,6,4.0
939,20,3,20,0,1,28,2,9.5,0,0.0,2,16,9.5
696,12,2,12,0,1,19,2,5.5,0,0.0,2,9,5.5
464,14,2,14,0,1,21,2,6.5,0,0.0,2,11,6.5
289,17,6,17,0,1,24,2,8.0,0,0.0,2,10,8.0
860,14,3,14,0,2,33,3,13.5,1,7.0,2,10,6.5
585,18,3,18,1,1,37,0,0.0,0,0.0,0,0,0.0
810,31,12,31,0,3,83,6,15.333333333333332,3,5.666666666666668,3,18,9.666666666666666
890,30,3,14,0,2,38,3,9.333333333333334,0,0.0,3,15,9.333333333333334
327,13,3,13,1,1,15,0,0.0,0,0.0,0,0,0.0
791,16,3,9,0,3,91,12,11.375,8,8.125,4,5,3.25
64,8,3,8,0,1,15,2,3.5,0,0.0,2,4,3.5
533,20,3,11,0,2,27,3,6.0,0,0.0,3,8,6.0
509,12,6,12,0,2,19,3,3.333333333333333,0,0.0,3,5,3.333333333333333
383,13,3,13,0,1,20,2,6.0,0,0.0,2,9,6.0
587,19,2,19,0,1,26,2,9.0,0,0.0,2,16,9.0
993,23,3,12,1,2,49,0,0.0,0,0.0,0,0,0.0
3,19,3,16,1,1,31,0,0.0,0,0.0,0,0,0.0
364,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
505,11,4,11,1,1,19,0,0.0,0,0.0,0,0,0.0
550,40,2,6,0,2,47,3,12.666666666666664,0,0.0,3,33,12.666666666666664
291,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
512,12,3,12,1,1,20,0,0.0,0,0.0,0,0,0.0
20,36,3,21,0,2,43,3,11.333333333333336,0,0.0,3,17,11.333333333333336
748,20,3,20,0,1,28,2,9.5,0,0.0,2,16,9.5
245,21,3,17,0,2,28,3,6.333333333333332,0,0.0,3,13,6.333333333333332
839,10,3,10,0,1,46,4,13.5,2,9.0,2,6,4.5
181,10,2,10,0,1,17,2,4.5,0,0.0,2,7,4.5
855,20,3,20,0,1,69,4,29.0,2,19.5,2,16,9.5
268,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
600,23,2,7,0,3,30,4,5.0,0,0.0,4,7,5.0
978,23,3,15,0,3,75,6,20.0,3,13.0,3,11,7.0
317,19,3,17,1,1,14,0,0.0,0,0.0,0,0,0.0
690,10,3,10,0,1,17,2,4.5,0,0.0,2,6,4.5
872,8,2,8,0,1,16,2,3.5,0,0.0,2,5,3.5
40,7,3,7,1,2,33,0,0.0,0,0.0,0,0,0.0
845,22,12,22,0,2,30,3,6.666666666666668,0,0.0,3,9,6.666666666666668
929,26,12,26,0,3,84,6,12.0,3,4.0,3,13,8.0
363,22,2,10,0,2,29,3,6.666666666666668,0,0.0,3,11,6.666666666666668
846,23,3,13,0,2,31,3,7.0,0,0.0,3,9,7.0
536,21,2,13,0,2,28,3,6.333333333333332,0,0.0,3,10,6.333333333333332
479,15,8,15,0,2,22,3,4.333333333333333,0,0.0,3,6,4.333333333333333
311,23,3,23,0,1,30,2,11.0,0,0.0,2,19,11.0
942,21,3,21,0,2,70,9,14.571428571428573,7,4.571428571428571,2,17,10.0
733,26,12,26,0,2,34,3,8.0,0,0.0,3,13,8.0
867,29,12,29,0,2,37,3,9.0,0,0.0,3,16,9.0
891,22,3,22,0,1,30,2,10.5,0,0.0,2,18,10.5
367,13,3,13,0,1,20,2,6.0,0,0.0,2,9,6.0
969,23,3,11,0,2,70,5,13.5,2,6.5,3,11,7.0
45,9,4,9,0,1,16,2,4.0,0,0.0,2,4,4.0
873,8,2,8,0,1,26,4,8.5,2,5.0,2,5,3.5
501,15,3,15,0,1,22,2,7.0,0,0.0,2,11,7.0
277,12,3,12,0,1,19,2,5.5,0,0.0,2,8,5.5
334,12,2,12,1,1,21,0,0.0,0,0.0,0,0,0.0
763,22,3,10,0,3,70,6,18.666666666666668,3,12.0,3,11,6.666666666666668
335,17,3,17,0,1,24,2,8.0,0,0.0,2,13,8.0
715,25,3,25,0,2,57,4,22.0,2,10.0,2,21,12.0
163,15,3,15,0,1,22,2,7.0,0,0.0,2,11,7.0
474,12,3,12,0,1,19,2,5.5,0,0.0,2,8,5.5
504,11,4,11,0,1,18,2,5.0,0,0.0,2,6,5.0
666,11,3,11,0,1,18,2,5.0,0,0.0,2,7,5.0
301,14,4,14,0,1,21,2,6.5,0,0.0,2,9,6.5
234,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
967,14,3,14,0,2,47,5,13.166666666666668,3,6.666666666666668,2,10,6.5
19,34,3,24,0,2,41,3,10.666666666666666,0,0.0,3,20,10.666666666666666
408,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
429,18,6,18,0,1,25,2,8.5,0,0.0,2,11,8.5
599,13,2,13,0,1,20,2,6.0,0,0.0,2,10,6.0
970,23,3,11,0,2,75,5,14.0,2,7.0,3,11,7.0
655,23,9,23,0,2,30,3,7.0,0,0.0,3,13,7.0
952,31,3,12,0,2,39,3,9.666666666666666,0,0.0,3,18,9.666666666666666
778,17,3,17,0,1,25,2,8.0,0,0.0,2,13,8.0
434,10,3,10,0,1,17,2,4.5,0,0.0,2,6,4.5
358,16,6,16,0,1,23,2,7.5,0,0.0,2,9,7.5
578,21,8,21,0,1,28,2,10.0,0,0.0,2,12,10.0
436,13,3,13,0,1,20,2,6.0,0,0.0,2,9,6.0
713,20,3,20,0,1,28,2,9.5,0,0.0,2,16,9.5
865,26,12,26,0,2,34,3,8.0,0,0.0,3,13,8.0
922,13,3,13,0,2,53,6,13.25,4,7.25,2,9,6.0
42,8,3,8,0,1,15,2,3.5,0,0.0,2,4,3.5
844,17,2,17,0,1,32,4,10.5,2,2.5,2,14,8.0
877,19,3,19,0,1,27,2,9.0,0,0.0,2,15,9.0
151,15,3,15,0,1,22,2,7.0,0,0.0,2,11,7.0
113,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
244,11,2,11,0,1,18,2,5.0,0,0.0,2,8,5.0
143,15,6,15,0,1,22,2,7.0,0,0.0,2,8,7.0
612,22,3,22,0,1,29,2,10.5,0,0.0,2,18,10.5
795,15,3,12,0,3,55,7,10.833333333333332,4,6.5,3,8,4.333333333333333
632,11,3,11,0,1,18,2,5.0,0,0.0,2,7,5.0
5,19,3,16,1,1,37,0,0.0,0,0.0,0,0,0.0
677,20,2,20,0,1,27,2,9.5,0,0.0,2,17,9.5
229,20,3,20,0,1,27,2,9.5,0,0.0,2,16,9.5
768,23,12,23,0,2,31,3,7.0,0,0.0,3,10,7.0
438,23,6,23,0,2,30,3,7.0,0,0.0,3,16,7.0
797,17,3,9,0,3,96,8,9.5,4,6.0,4,5,3.5
799,18,3,15,0,2,26,3,5.333333333333333,0,0.0,3,11,5.333333333333333
75,11,2,11,1,1,26,0,0.0,0,0.0,0,0,0.0
485,15,3,15,0,1,22,2,7.0,0,0.0,2,11,7.0
682,13,3,13,0,1,20,2,6.0,0,0.0,2,9,6.0
409,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
607,14,3,14,0,1,21,2,6.5,0,0.0,2,10,6.5
981,23,3,15,0,3,72,6,19.0,3,12.0,3,11,7.0
392,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
752,14,3,14,0,1,22,2,6.5,0,0.0,2,10,6.5
70,16,3,16,0,1,23,2,7.5,0,0.0,2,12,7.5
379,19,2,19,0,1,26,2,9.0,0,0.0,2,16,9.0
207,11,4,11,0,1,18,2,5.0,0,0.0,2,6,5.0
159,29,12,29,0,2,36,3,9.0,0,0.0,3,16,9.0
667,11,3,11,1,2,38,0,0.0,0,0.0,0,0,0.0
49,23,3,23,0,1,30,2,11.0,0,0.0,2,19,11.0
210,15,3,15,0,1,22,2,7.0,0,0.0,2,11,7.0
224,26,6,26,0,2,33,3,8.0,0,0.0,3,19,8.0
896,15,3,15,0,2,82,5,25.0,3,18.0,2,11,7.0
346,15,2,15,0,1,22,2,7.0,0,0.0,2,12,7.0
78,17,6,17,0,1,24,2,8.0,0,0.0,2,10,8.0
683,10,3,10,0,1,17,2,4.5,0,0.0,2,6,4.5
828,18,3,12,0,4,86,10,12.333333333333332,7,7.0,3,8,5.333333333333333
674,10,3,10,0,1,17,2,4.5,0,0.0,2,6,4.5
636,18,6,18,0,1,25,2,8.5,0,0.0,2,11,8.5
322,12,3,12,0,1,19,2,5.5,0,0.0,2,8,5.5
341,24,2,9,0,2,31,3,7.333333333333332,0,0.0,3,14,7.333333333333332
235,11,2,11,0,1,18,2,5.0,0,0.0,2,8,5.0
87,17,6,17,0,1,24,2,8.0,0,0.0,2,10,8.0
59,19,6,10,0,3,26,4,4.0,0,0.0,4,8,4.0
699,10,3,10,0,1,17,2,4.5,0,0.0,2,6,4.5
219,12,3,12,1,1,20,0,0.0,0,0.0,0,0,0.0
903,22,12,22,0,2,30,3,6.666666666666668,0,0.0,3,9,6.666666666666668
74,11,2,11,0,1,18,2,5.0,0,0.0,2,8,5.0
732,28,3,21,0,2,110,7,12.416666666666664,4,3.75,3,17,8.666666666666666
743,16,3,9,0,3,50,4,26.66666666666667,1,22.0,3,6,4.666666666666667
916,21,3,14,0,3,48,5,13.833333333333332,2,7.5,3,10,6.333333333333332
298,18,2,18,0,1,25,2,8.5,0,0.0,2,15,8.5
802,15,3,12,0,2,23,3,4.333333333333333,0,0.0,3,8,4.333333333333333
756,17,3,17,0,2,65,3,15.0,1,7.0,2,13,8.0
97,14,3,14,0,1,21,2,6.5,0,0.0,2,10,6.5
601,22,3,22,0,1,29,2,10.5,0,0.0,2,18,10.5
170,17,3,17,0,1,24,2,8.0,0,0.0,2,13,8.0
687,15,3,15,0,1,22,2,7.0,0,0.0,2,11,7.0
1004,26,12,26,0,3,61,6,13.0,3,5.0,3,13,8.0
189,25,3,25,0,1,32,2,12.0,0,0.0,2,21,12.0
353,18,6,18,0,1,25,2,8.5,0,0.0,2,11,8.5
102,11,3,11,0,1,18,2,5.0,0,0.0,2,7,5.0
182,12,2,12,0,1,19,2,5.5,0,0.0,2,9,5.5
412,18,8,18,0,2,25,3,5.333333333333333,0,0.0,3,9,5.333333333333333
885,16,3,8,0,2,24,3,4.666666666666667,0,0.0,3,7,4.666666666666667
352,18,6,18,0,1,25,2,8.5,0,0.0,2,11,8.5
613,22,3,22,1,1,17,0,0.0,0,0.0,0,0,0.0
137,26,3,26,0,1,33,2,12.5,0,0.0,2,22,12.5
540,18,3,18,0,1,25,2,8.5,0,0.0,2,14,8.5
863,23,3,13,0,2,76,4,17.0,1,10.0,3,9,7.0
589,11,2,11,0,1,18,2,5.0,0,0.0,2,8,5.0
673,24,3,24,1,1,20,0,0.0,0,0.0,0,0,0.0
287,20,6,20,0,1,27,2,9.5,0,0.0,2,13,9.5
923,13,3,13,0,2,71,6,17.75,4,11.75,2,9,6.0
698,12,2,12,0,1,19,2,5.5,0,0.0,2,9,5.5
313,13,3,13,0,1,20,2,6.0,0,0.0,2,9,6.0
823,11,3,11,0,2,31,3,14.0,1,9.0,2,7,5.0
304,22,3,11,0,2,29,3,6.666666666666668,0,0.0,3,10,6.666666666666668
539,13,5,13,0,1,20,2,6.0,0,0.0,2,7,6.0
236,11,2,11,1,2,23,0,0.0,0,0.0,0,0,0.0
583,17,3,17,0,1,24,2,8.0,0,0.0,2,13,8.0
958,26,12,26,0,2,34,3,8.0,0,0.0,3,13,8.0
310,12,3,12,0,1,19,2,5.5,0,0.0,2,8,5.5
709,17,5,11,0,4,81,9,13.9,5,10.4,4,5,3.5
575,12,2,12,0,1,19,2,5.5,0,0.0,2,9,5.5
472,14,2,14,0,1,21,2,6.5,0,0.0,2,11,6.5
827,18,3,12,0,4,87,10,12.476190476190474,7,7.142857142857142,3,8,5.333333333333333
